FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,lon,lat,dt
7,The Kathmandu Post,https://kathmandupost.com/opinion/2018/08/31/plan-and-prepare,14284,1535760000000.0,unknown,Jajarkot Debris Flow (8 fatalities),Debris Flow in Jajarkot district killed 8 children when house was buried.,"Jajarkot District, Nepal",25km,debris_flow,monsoon,large,unknown,8,0, , , ,GLC, ,28.87534178,82.15647284,Nepal,NP,Bheri,Dumjala,8.66,1595980800000.0,1606348800000,9145616.721474936,3359789.383465951,2018-09-01
22,The Kathmandu Post,https://kathmandupost.com/opinion/2018/08/31/plan-and-prepare,14315,1535760000000.0,unknown,Nuwakot Landslide,Landslide damaged bridge on highway at Nuwakot during monsoon season.,"Nuwakot, Lumbini, Nepal",5km,landslide,monsoon,unknown,above_road,0,0, , , ,GLC, ,27.96216117,83.05240785,Nepal,NP,Lumbini,Rajiya,16.12,1595980800000.0,1606348800000,9245351.750905966,3244204.015563046,2018-09-01
31,The Tribune,https://www.tribuneindia.com/news/archive/j-k/state-nhai-pass-the-buck-over-condition-of-nhs-647297,14350,1535500800000.0,unknown,Kheri Landslide,"Landslide triggered by rain occurred at Kheri near Udhampur, blocking the Jammu-Srinagar National Highway and causing heavy traffic even after the debris was cleared.","Kheri, Jammu, Jammu & Kashmir, IND",5km,landslide,rain,medium,above_road,0,0, , , ,GLC, ,32.79349919,74.82127414,India,IN,Jammu and Kashmir,Kurwanda,3.47,1597104000000.0,1606348800000,8329066.137768735,3867926.401727747,2018-08-29
40,The Kathmandu Post,https://reliefweb.int/report/nepal/concrete-bridge-swept-flood-barhabise,14281,1534550400000.0,22:00,Barhabise Debris Flow,Debris flow damaged bridge on the highway at Barhabise during monsoon season.,"Barhabise, Bagmati, Nepal",5km,debris_flow,monsoon,unknown,above_road,0,0, , , ,GLC, ,27.79444886,85.91077939,Nepal,NP,Bagmati,Barahbise,1.2,1595980800000.0,1606348800000,9563544.215682024,3223083.1236523353,2018-08-18
48,Outlook India,https://www.outlookindia.com/newsscroll/3-children-killed-as-landslide-buries-house/1375404,14335,1535846400000.0,unknown,Landslide at Baphukhola Kills 3,"Continuous rainfall in Western Nepal triggered a landslide at Baphukhola in Bahchaur of Saylan district that buried a house, killing 3 children.","Baphukhola, Bagchaur, Saylan, Nepal",5km,landslide,continuous_rain,medium,unknown,3,0, , , ,GLC, ,28.5051914,82.39631687,Nepal,NP,Rapti,Baramelo,7.44,1596931200000.0,1606348800000,9172316.037209624,3312817.4694013414,2018-09-02
52,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/traffic-restored-on-hatkoti-highway-after-24-hours-647198,14326,1535846400000.0,unknown,Landslip on Theog-Hatkoti-Rohru Highway,"During India's rainy season a landslide occurred on the Theog-Hatkoti-Rohru Highway blocking the road, but was cleared after 24 hours. This was one slide of many in the area causing various traffic delays.","Theog-Hatkoti-Rohru highway, Shimla, Himachal Pradesh, 171205",25km,landslide,rain,small,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/9/2018_9$largeimg03_Monday_2018_231924595.jpg, ,GLC, ,31.11294766,77.61442829,India,IN,Himachal Pradesh,Saura,13.0,1597536000000.0,1606348800000,8639998.635231216,3647426.2504236344,2018-09-02
55,Biharprabha News,https://news.biharprabha.com/2018/09/shimla-kalka-heritage-railway-track-blocked-after-landslide/,14386,1536537600000.0,unknown,Shimla-Kalla Heritage Railway landslide.,The Shimla-Kalla heritage railway track was blocked by a landslide.,"Shimla-Kalka Road, Chaura Maidan, Shimla, Himachal Pradesh, 171004",5km,landslide,unknown,unknown,unknown,0,0, , , ,GLC, ,31.1026923,77.15932841,India,IN,Himachal Pradesh,Simla,8.68,1594771200000.0,1606348800000,8589337.148886135,3646092.8874818557,2018-09-10
58,The Tribune India,https://www.tribuneindia.com/news/archive/himachal/landslide-blocks-kangra-highway-640047,14483,1534723200000.0,06:00,Kangra-Chandigarh National Highway Landslide,"A landslide induced by heavy rain from the day prior fell on the Kangra-Chandigarh National Highway, causing closure in both lanes for hours.","Kangra-Chandigarh National Highway, Himachal Pradesh, IND",50km,landslide,rain,large,above_road,0,0, ,https://images.tribuneindia.com/cms/gall_content/2018/8/2018_8$largeimg20_Monday_2018_231548496.jpg, ,GLC, ,31.49579417,76.23393204,India,IN,Himachal Pradesh,Gobindpur,16.55,1598227200000.0,1606348800000,8486322.495750513,3697306.235355713,2018-08-20
60,Khaleej Times,https://www.pressreader.com/uae/khaleej-times/20181031/281947428849053,14397,1540857600000.0,unknown,"Landslide closes highway, 1 dead",A landslide that shut down a stretch of the Jammu-Srinagar highway in Ramban district. One man was kidded after being hit by rubble sliding down mountain sides in Digdol area.,Jammu-Srinagar highway in Digol area,1km,landslide,continuous_rain,medium,above_road,1,0, , ,Night-long rains in Ramban district triggered the landslide. Multiple landslide were reported.,GLC, ,33.30077774,75.18148186,India,IN,Jammu and Kashmir,Gund,14.88,1596412800000.0,1606348800000,8369164.277627618,3935295.5679173474,2018-10-30
63,The News,https://www.thenews.com.pk/print/392439-mudslide-kills-two-women-in-haripur,14393,1541808000000.0,unknown,Mudslide kills two women in Haripur,Two women were killed and another injured by a mudslide in Charwai Amazai village of Ghazi tehsil of Haripur district on Saturday. They were digging mud from a hill for use in renovation of their mud-house when a part of the hill caved in and buried them,"Charwai Amazai village of Ghazi tehsil of Haripur district, Pakistan",1km,mudslide,construction,medium,natural_slope,2,1, , ,This is a human triggered event.,GLC, ,34.019611,72.65975,Pakistan,PK,North-West Frontier,Tarbela Dam,5.78,1596585600000.0,1606348800000,8088446.371166562,4031435.6083634174,2018-11-10
64,The Tribune,https://www.tribuneindia.com/news/archive/j-k/state-nhai-pass-the-buck-over-condition-of-nhs-647297,14459,1534809600000.0,unknown,Kuligad Landslide,Seven people died when a landslide on the Batote-Kishtwar Highway hit a vehicle at Kuligad near Thathri during the rainy season.,"Kuligad, Thathri, Doda, Jammu & Kashmir, IND",10km,landslide,rain,unknown,above_road,7,0, , ,Unable to locate Kuligad.,GLC, ,33.1454521,75.78025691,India,IN,Jammu and Kashmir,Khandhot,4.6,1597104000000.0,1606348800000,8435819.611404657,3914626.2494061748,2018-08-21
