date,month,lon,lat,n_scenes,gap_before_20,gap_after_20,window_20,gap_before_40,gap_after_40,window_40,gap_before_60,gap_after_60,window_60,gap_before_80,gap_after_80,window_80
2017-07-10,7,93.8574874760001,26.9522327930001,17,,93.0,,,13.0,,,13.0,,,13.0,
2017-07-09,7,93.651564379,27.107124104,17,,94.0,,41.0,14.0,55.0,41.0,14.0,55.0,41.0,14.0,55.0
2015-08-16,8,96.9262000000001,27.8835,3,,89.0,,,89.0,,,89.0,,,89.0,
2017-07-11,7,91.876945,27.583849,19,90.0,110.0,200.0,70.0,110.0,180.0,30.0,110.0,140.0,30.0,55.0,85.0
2017-07-09,7,93.6649570850001,27.141638969,17,,119.0,,41.0,94.0,135.0,41.0,94.0,135.0,41.0,14.0,55.0
2016-07-16,7,93.804,27.3034000000001,11,,107.0,,,107.0,,53.0,27.0,80.0,33.0,27.0,60.0
2016-07-01,7,92.6351000000001,27.0136000000001,15,38.0,55.0,93.0,38.0,42.0,80.0,5.0,42.0,47.0,5.0,42.0,47.0
2017-07-09,7,93.5975544090001,27.0767151740001,17,,94.0,,41.0,14.0,55.0,41.0,14.0,55.0,41.0,14.0,55.0
2017-04-22,4,93.6259277340001,27.6802471,15,73.0,,,73.0,37.0,110.0,63.0,37.0,100.0,23.0,17.0,40.0
2017-07-04,7,94.212635886,27.985317153,17,,99.0,,56.0,99.0,155.0,36.0,44.0,80.0,36.0,19.0,55.0
2017-07-11,7,93.6153927880001,27.2093841080001,17,,117.0,,43.0,92.0,135.0,43.0,92.0,135.0,43.0,12.0,55.0
2017-07-09,7,93.6188204270001,27.092916003,17,,94.0,,41.0,14.0,55.0,41.0,14.0,55.0,41.0,14.0,55.0
2015-08-18,8,94.7596,28.1737000000001,1,,110.0,,,110.0,,,110.0,,,110.0,
2017-07-08,7,91.6036288990001,27.1600986070001,19,87.0,113.0,200.0,67.0,113.0,180.0,27.0,113.0,140.0,27.0,58.0,85.0
