feature,gain,split,gain_pct
geol_lithunit_cat,517003.6134727001,2609,22.98691455087418
terrain_northness,266825.997351408,883,11.863565826687342
dem_elev_m,218658.21707344055,1832,9.721939307062664
terrain_slope_max_deg,194421.61727809906,836,8.644336300079681
dist_road_m,176690.56774139404,3569,7.855981808976927
soil_cfvo_60-100cm_cm3dm3,57777.90975475311,1317,2.5689102355389255
soil_soc_15-30cm_dgkg,54538.884645462036,1560,2.4248973283267374
soil_bdod_0-5cm_cgcm3,51835.738917827606,1297,2.3047105864153594
terrain_eastness,48227.549048662186,800,2.1442839471338235
soil_soc_0-5cm_dgkg,45841.87125611305,1552,2.038212403078473
soil_sand_60-100cm_gkg,43491.27393102646,1298,1.9337005999745431
dist_lineament_m,40583.40652656555,1630,1.8044115625099244
soil_cfvo_15-30cm_cm3dm3,40342.925421237946,1098,1.7937193381710372
soil_sand_15-30cm_gkg,40182.68907737732,1143,1.7865949408780903
soil_clay_0-5cm_gkg,39179.5690870285,1284,1.7419944141089683
soil_clay_15-30cm_gkg,37494.87868356705,1139,1.6670900356097045
soil_soc_60-100cm_dgkg,36770.061608076096,1427,1.6348633591510788
soil_clay_60-100cm_gkg,34614.727192401886,1185,1.5390332977151977
terrain_slope_deg,33936.67887496948,445,1.5088860447211803
soil_bdod_60-100cm_cgcm3,31807.735367298126,1321,1.4142293707266496
soil_sand_0-5cm_gkg,30529.322497844696,1121,1.357388825273836
soil_silt_0-5cm_gkg,29582.923914194107,1073,1.3153102347059322
soil_cfvo_0-5cm_cm3dm3,27092.730541467667,1191,1.2045917391628862
soil_bdod_15-30cm_cgcm3,26956.456202983856,1109,1.1985327359130575
soil_silt_60-100cm_gkg,26354.441012620926,1044,1.1717660530919294
soil_silt_15-30cm_gkg,22384.877586841583,934,0.9952720927117407
dist_river_m,21017.25034046173,990,0.934464914907284
lc_class_cat,12933.103996753693,154,0.5750291655681914
hydro_flowacc_cells,12092.933323860168,310,0.5376736597986486
geol_rockgr_cat,9671.981852054596,225,0.4300337842465093
terrain_relief_m,9342.516341924667,253,0.4153851525320295
terrain_curv_plan,4268.4550013542175,180,0.18978321973674558
hydro_twi,3810.185050010681,184,0.16940770989841178
terrain_curv_prof,2858.3061532974243,207,0.1270854547123106
