feature,mean_abs_shap
terrain_northness,0.7010490599458031
geol_lithunit_cat,0.5192267053704992
dem_elev_m,0.4922351714437819
terrain_slope_max_deg,0.40855064453301876
dist_road_m,0.2297614243840763
terrain_eastness,0.2066735823594438
soil_soc_15-30cm_dgkg,0.15276042123502834
soil_cfvo_60-100cm_cm3dm3,0.14944407978136912
terrain_slope_deg,0.12313399237486217
soil_bdod_0-5cm_cgcm3,0.11939187387083211
hydro_flowacc_cells,0.10277290734393364
soil_soc_60-100cm_dgkg,0.09246090829230062
soil_cfvo_15-30cm_cm3dm3,0.0877342175137542
soil_soc_0-5cm_dgkg,0.08644970883265375
soil_sand_60-100cm_gkg,0.08309863345910591
soil_sand_15-30cm_gkg,0.07575308243094593
soil_clay_60-100cm_gkg,0.06930200539651454
dist_lineament_m,0.0690665671079877
soil_clay_15-30cm_gkg,0.05555033153110099
soil_bdod_60-100cm_cgcm3,0.05499999314617738
lc_class_cat,0.05463289406409489
soil_clay_0-5cm_gkg,0.053439111818732274
soil_sand_0-5cm_gkg,0.04513197175225309
soil_silt_0-5cm_gkg,0.04491877966991485
soil_cfvo_0-5cm_cm3dm3,0.043432111463559034
soil_silt_60-100cm_gkg,0.041427111599177814
dist_river_m,0.03902893396366293
terrain_curv_plan,0.03793211915593581
soil_bdod_15-30cm_cgcm3,0.03784653055802815
soil_silt_15-30cm_gkg,0.03096698897678807
terrain_curv_prof,0.024334713763675755
terrain_relief_m,0.018260555631898708
geol_rockgr_cat,0.017687309717884594
hydro_twi,0.009318546666125095
